,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROI,Profit,ROM
0,1,Peoria,Arizona,Region 2,Old,2601,48610,1868.9,46009,1768.9
1,2,Midland,Texas,Region 2,Old,2727,45689,1675.43,42962,1575.43
2,3,Spokane,Washington,Region 2,Old,2768,49554,1790.25,46786,1690.25
3,4,Denton,Texas,Region 2,Old,2759,38284,1387.6,35525,1287.6
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,2087.38,57018,1987.38
5,6,Yonkers,New York,Region 1,Old,3080,53827,1747.63,50747,1647.63
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,1940.13,57228,1840.13
7,8,Antioch,California,Region 2,Old,2593,19569,754.69,16976,654.69
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,2237.01,57165,2137.01
9,10,Rochester,New York,Region 1,Old,2984,64906,2175.13,61922,2075.13
10,11,Rialto,California,Region 2,Old,2541,16860,663.52,14319,563.52
11,12,Santa Maria,California,Region 2,Old,2651,21988,829.42,19337,729.42
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,686.98,16993,586.98
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,1578.22,51235,1478.22
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,687.68,15785,587.68
15,16,Temecula,California,Region 2,Old,2795,16690,597.14,13895,497.14
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,1743.84,44992,1643.84
17,18,Fontana,California,Region 2,Old,3085,63027,2043.01,59942,1943.01
18,19,Kent,Washington,Region 2,Old,2894,43183,1492.16,40289,1392.16
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,691.5,16355,591.5
20,21,Concord,California,Region 2,Old,2521,38178,1514.4,35657,1414.4
21,22,Modesto,California,Region 2,Old,3077,56836,1847.12,53759,1747.12
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,1585.46,48827,1485.46
23,24,Burbank,California,Region 2,Old,3679,20123,546.97,16444,446.97
24,25,Elk Grove,California,Region 2,Old,2918,49856,1708.57,46938,1608.57
25,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,2305.37,53370,2205.37
26,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,1760.54,42460,1660.54
27,28,Salt Lake City,Utah,Region 2,Old,3620,56921,1572.4,53301,1472.4
28,29,Waco,Texas,Region 2,Old,2483,39744,1600.64,37261,1500.64
29,30,Edison,New Jersey,Region 1,Old,3131,22972,733.7,19841,633.7
30,31,Boulder,Colorado,Region 2,Old,3083,22680,735.65,19597,635.65
31,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,2331.73,62667,2231.73
32,33,Tyler,Texas,Region 2,Old,2984,21718,727.82,18734,627.82
33,34,Charleston,South Carolina,Region 1,Old,2484,34829,1402.13,32345,1302.13
34,35,Huntsville,Alabama,Region 1,Old,3335,59283,1777.6,55948,1677.6
35,36,Pearland,Texas,Region 2,Old,3127,20057,641.41,16930,541.41
36,37,Inglewood,California,Region 2,Old,2904,20455,704.37,17551,604.37
37,38,Oxnard,California,Region 2,Old,2318,64302,2774.03,61984,2674.03
38,39,Miramar,Florida,Region 1,Old,3488,49506,1419.32,46018,1319.32
39,40,Cape Coral,Florida,Region 1,Old,2886,52250,1810.46,49364,1710.46
40,41,Syracuse,New York,Region 1,Old,2373,41313,1740.96,38940,1640.96
41,42,Newport News,Virginia,Region 1,Old,2758,57625,2089.38,54867,1989.38
42,43,Lewisville,Texas,Region 2,Old,2607,16029,614.84,13422,514.84
43,44,Carrollton,Texas,Region 2,Old,3146,49191,1563.6,46045,1463.6
44,45,San Bernardino,California,Region 2,Old,3399,59870,1761.4,56471,1661.4
45,46,Pasadena,California,Region 2,Old,2790,48254,1729.53,45464,1629.53
46,47,Roseville,California,Region 2,Old,3220,43397,1347.73,40177,1247.73
47,48,Murrieta,California,Region 2,Old,2344,16372,698.46,14028,598.46
48,49,San Angelo,Texas,Region 2,Old,2939,50233,1709.19,47294,1609.19
49,50,Olathe,Kansas,Region 2,Old,3082,41460,1345.23,38378,1245.23
50,51,Akron,Ohio,Region 1,Old,2338,50364,2154.15,48026,2054.15
51,52,Fullerton,California,Region 2,Old,3246,44223,1362.38,40977,1262.38
52,53,Manchester,New Hampshire,Region 1,Old,2374,17006,716.34,14632,616.34
53,54,Everett,Washington,Region 2,Old,3129,15562,497.35,12433,397.35
54,55,West Covina,California,Region 2,Old,2939,21824,742.57,18885,642.57
55,56,Thornton,Colorado,Region 2,Old,2642,46490,1759.65,43848,1659.65
56,57,Hampton,Virginia,Region 1,Old,2871,38782,1350.82,35911,1250.82
57,58,Waterbury,Connecticut,Region 1,Old,3392,19350,570.46,15958,470.46
58,59,Ventura,California,Region 2,Old,3228,16652,515.86,13424,415.86
59,60,Davenport,Iowa,Region 1,Old,3175,23764,748.47,20589,648.47
60,61,Columbia,South Carolina,Region 1,Old,2874,42803,1489.32,39929,1389.32
61,62,Simi Valley,California,Region 2,Old,2792,41110,1472.42,38318,1372.42
62,63,Richmond,California,Region 2,Old,3924,19448,495.62,15524,395.62
63,64,Little Rock,Arkansas,Region 2,Old,2440,68828,2820.82,66388,2720.82
64,65,El Cajon,California,Region 2,Old,2950,19529,662.0,16579,562.0
65,66,Santa Clara,California,Region 2,Old,2462,29008,1178.23,26546,1078.23
66,67,Oceanside,California,Region 2,Old,3084,55684,1805.58,52600,1705.58
67,68,Davie,Florida,Region 1,Old,3177,45418,1429.59,42241,1329.59
68,69,Lakeland,Florida,Region 1,Old,3003,18297,609.29,15294,509.29
69,70,Centennial,Colorado,Region 2,Old,3697,18966,513.01,15269,413.01
70,71,Lowell,Massachusetts,Region 1,Old,2857,18838,659.36,15981,559.36
71,72,Ontario,California,Region 2,Old,3168,52078,1643.88,48910,1543.88
72,73,Palm Bay,Florida,Region 1,Old,2943,25321,860.38,22378,760.38
73,74,Murfreesboro,Tennessee,Region 2,Old,2777,40545,1460.03,37768,1360.03
74,75,Vancouver,Washington,Region 2,Old,3329,58951,1770.83,55622,1670.83
75,76,Topeka,Kansas,Region 2,Old,2854,40921,1433.81,38067,1333.81
76,77,West Valley City,Utah,Region 2,Old,2555,49609,1941.64,47054,1841.64
77,78,New Haven,Connecticut,Region 1,Old,3162,45550,1440.54,42388,1340.54
78,79,Pueblo,Colorado,Region 2,Old,2928,19563,668.14,16635,568.14
79,80,Costa Mesa,California,Region 2,Old,2275,41361,1818.07,39086,1718.07
80,81,Garden Grove,California,Region 2,Old,3285,57530,1751.29,54245,1651.29
81,82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,1702.46,51551,1602.46
82,83,North Charleston,South Carolina,Region 1,Old,3115,18754,602.05,15639,502.05
83,84,Cambridge,Massachusetts,Region 1,Old,2779,21286,765.96,18507,665.96
84,85,Greeley,Colorado,Region 2,Old,3277,48796,1489.04,45519,1389.04
85,86,Gresham,Oregon,Region 2,Old,2745,19708,717.96,16963,617.96
86,87,Amarillo,Texas,Region 2,Old,3984,56089,1407.86,52105,1307.86
87,88,High Point,North Carolina,Region 1,Old,3262,19752,605.52,16490,505.52
88,89,Vista,California,Region 2,Old,2718,20949,770.75,18231,670.75
89,90,Tacoma,Washington,Region 2,Old,2552,45666,1789.42,43114,1689.42
90,91,Mesquite,Texas,Region 2,Old,3072,40779,1327.44,37707,1227.44
91,92,Augusta,Georgia,Region 1,Old,2676,47482,1774.36,44806,1674.36
92,93,Elgin,Illinois,Region 1,Old,2553,18215,713.47,15662,613.47
93,94,Aurora,Illinois,Region 1,Old,2685,50650,1886.41,47965,1786.41
94,95,Gainesville,Florida,Region 1,Old,2990,48933,1636.56,45943,1536.56
95,96,Dayton,Ohio,Region 1,Old,2805,42026,1498.25,39221,1398.25
96,97,Wichita Falls,Texas,Region 2,Old,2846,15735,552.88,12889,452.88
97,98,Naperville,Illinois,Region 1,Old,2699,39856,1476.7,37157,1376.7
98,99,Clovis,California,Region 2,Old,2901,20669,712.48,17768,612.48
99,100,Billings,Montana,Region 1,Old,3015,20541,681.29,17526,581.29
100,101,Surprise,Arizona,Region 2,Old,2160,33647,1557.73,31487,1457.73
101,102,Coral Springs,Florida,Region 1,Old,3079,41319,1341.96,38240,1241.96
102,103,Visalia,California,Region 2,Old,2104,45632,2168.82,43528,2068.82
103,104,Killeen,Texas,Region 2,Old,2962,43773,1477.82,40811,1377.82
104,105,Orange,California,Region 2,Old,2830,36821,1301.1,33991,1201.1
105,106,Richardson,Texas,Region 2,Old,3228,22824,707.06,19596,607.06
106,107,South Bend,Indiana,Region 1,Old,3005,21953,730.55,18948,630.55
107,108,Fayetteville,North Carolina,Region 1,Old,3020,51229,1696.32,48209,1596.32
108,109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,1716.42,47636,1616.42
109,110,Grand Prairie,Texas,Region 2,Old,3131,50895,1625.52,47764,1525.52
110,111,Stamford,Connecticut,Region 1,Old,2901,46503,1603.0,43602,1503.0
111,112,West Palm Beach,Florida,Region 1,Old,2926,18089,618.22,15163,518.22
112,113,Knoxville,Tennessee,Region 2,Old,3086,56504,1830.98,53418,1730.98
113,114,Renton,Washington,Region 2,Old,2754,44635,1620.73,41881,1520.73
114,115,McAllen,Texas,Region 2,Old,2282,43924,1924.8,41642,1824.8
115,116,Woodbridge,New Jersey,Region 1,Old,3319,19811,596.9,16492,496.9
116,117,Shreveport,Louisiana,Region 1,Old,3081,56140,1822.14,53059,1722.14
117,118,Bellevue,Washington,Region 2,Old,2542,40462,1591.74,37920,1491.74
118,119,Huntington Beach,California,Region 2,Old,2527,54145,2142.66,51618,2042.66
119,120,Santa Clarita,California,Region 2,Old,2967,51882,1748.63,48915,1648.63
120,121,Sterling Heights,Michigan,Region 1,Old,2357,35022,1485.87,32665,1385.87
121,122,Mobile,Alabama,Region 1,Old,2838,49290,1736.79,46452,1636.79
122,123,Bridgeport,Connecticut,Region 1,Old,2914,47108,1616.61,44194,1516.61
123,124,Daly City,California,Region 2,Old,2658,20703,778.89,18045,678.89
124,125,Rochester,Minnesota,Region 1,Old,2854,18099,634.16,15245,534.16
125,126,Sandy Springs,Georgia,Region 1,Old,2759,18942,686.55,16183,586.55
126,127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,2039.64,49519,1939.64
127,128,Columbus,Georgia,Region 1,Old,2877,55203,1918.77,52326,1818.77
128,129,Moreno Valley,California,Region 2,Old,3507,59254,1689.59,55747,1589.59
129,130,Pompano Beach,Florida,Region 1,Old,2608,21603,828.34,18995,728.34
130,131,Savannah,Georgia,Region 1,Old,2028,36029,1776.58,34001,1676.58
131,132,West Jordan,Utah,Region 2,Old,2773,21056,759.32,18283,659.32
132,133,Des Moines,Iowa,Region 1,Old,2995,57432,1917.6,54437,1817.6
133,134,Green Bay,Wisconsin,Region 1,Old,3586,18454,514.61,14868,414.61
134,135,Santa Rosa,California,Region 2,Old,3067,59060,1925.66,55993,1825.66
135,136,San Mateo,California,Region 2,Old,1811,19426,1072.67,17615,972.67
136,137,Warren,Michigan,Region 1,Old,2736,47262,1727.41,44526,1627.41
137,138,Norwalk,California,Region 2,Old,3112,19703,633.13,16591,533.13
138,139,Lafayette,Louisiana,Region 1,Old,2603,40255,1546.48,37652,1446.48
139,140,Providence,Rhode Island,Region 1,Old,3191,62337,1953.53,59146,1853.53
140,141,Chattanooga,Tennessee,Region 2,New,3587,55357,1543.27,51770,1443.27
141,142,Tempe,Arizona,Region 2,New,2911,48954,1681.69,46043,1581.69
142,143,Joliet,Illinois,Region 1,New,3279,48315,1473.47,45036,1373.47
143,144,Rancho Cucamonga,California,Region 2,New,2945,52366,1778.13,49421,1678.13
144,145,Glendale,California,Region 2,New,2363,49376,2089.55,47013,1989.55
145,146,Paterson,New Jersey,Region 1,New,2251,34603,1537.23,32352,1437.23
146,147,Brownsville,Texas,Region 2,New,3675,63148,1718.31,59473,1618.31
147,148,Rockford,Illinois,Region 1,New,2648,43377,1638.1,40729,1538.1
148,149,College Station,Texas,Region 2,New,2994,22457,750.07,19463,650.07
149,150,Thousand Oaks,California,Region 2,New,2431,40141,1651.21,37710,1551.21
